,index,Movie,P_Genre,S_Genre,T_Genre,Cluster_Id
0,0,stranger things,3,9,13,4
1,1,the boys,10,14,1,32
2,2,resident evil,10,8,11,5
3,3,the umbrella academy,10,1,0,149
4,4,ms. marvel,10,1,0,149
5,5,westworld,3,0,11,140
6,6,jurassic world dominion,10,1,11,17
7,7,minions: the rise of gru,4,1,0,30
8,8,doctor strange in the multiverse of madness,10,1,12,0
9,9,everything everywhere all at once,10,1,0,149
10,10,star trek: strange new worlds,10,1,11,17
11,11,the orville,1,2,1,21
12,12,obi-wan kenobi,10,1,11,17
13,13,severance,3,0,11,140
14,14,manifest,3,0,11,140
15,15,lightyear,4,13,17,38
16,16,thor: ragnarok,10,1,0,149
17,17,nope,8,0,11,35
18,18,spider-man: no way home,10,1,12,0
19,19,the sandman,3,9,13,4
20,20,the munsters,2,6,12,1
21,21,spiderhead,10,14,1,32
22,22,black mirror,3,0,11,140
23,23,the flash,10,1,1,328
24,24,the mandalorian,10,1,12,0
25,25,rocketry: the nambi effect,10,3,1,49
26,26,american horror story,3,8,11,48
27,27,"love, death &amp; robots",4,7,4,417
28,28,doctor who,1,5,11,135
29,29,resident evil: welcome to raccoon city,10,8,11,5
30,30,solar opposites,4,2,11,463
31,31,crimes of the future,3,8,11,48
32,32,lost,1,5,12,56
33,33,jurassic park,10,1,11,17
34,34,rick and morty,4,1,0,30
35,35,morbius,10,1,13,15
36,36,the marvels,10,1,12,0
37,37,the undeclared war,3,4,7,335
38,38,avengers: endgame,10,1,1,328
39,39,dune: part one,10,1,1,328
40,40,halo,10,1,11,17
41,41,eternals,10,1,12,0
42,42,the x files,11,5,8,71
43,43,dark,11,5,8,71
44,44,star trek: discovery,10,1,1,328
45,45,ghostbusters: afterlife,1,2,12,91
46,46,dc league of super-pets,4,13,17,38
47,47,avatar: the way of water,10,1,11,17
48,48,interstellar,1,5,11,135
49,49,inception,10,1,11,17
50,50,invincible,4,13,17,38
51,51,free guy,10,1,0,149
52,52,the 100,3,0,11,140
53,53,black panther: wakanda forever,10,1,1,328
54,54,loki,10,1,12,0
55,55,black adam,10,9,11,496
56,56,the time traveler's wife,3,9,14,384
57,57,star wars: the clone wars,4,13,17,38
58,58,sonic the hedgehog 2,10,1,0,149
59,59,she-hulk: attorney at law,10,1,0,149
60,60,wandavision,10,2,1,107
61,61,arcane: league of legends,4,13,17,38
62,62,minions,4,1,0,30
63,63,avengers: infinity war,10,1,11,17
64,64,guardians of the galaxy,10,1,0,149
65,65,star trek: the next generation,10,1,11,17
66,66,the book of boba fett,10,1,11,17
67,67,star trek,10,1,11,17
68,68,the expanse,3,0,11,140
69,69,star wars,10,1,12,0
70,70,harley quinn,4,13,17,38
71,71,daredevil,10,14,1,32
72,72,don't look up,2,5,11,457
73,73,jurassic world,10,1,11,17
74,74,superman &amp; lois,10,1,1,328
75,75,mad god,4,9,13,455
76,76,samaritan,10,5,12,249
77,77,independence day,10,1,11,17
78,78,moonfall,10,1,11,17
79,79,doctor strange,10,1,12,0
80,80,blade runner 2049,10,5,8,69
81,81,black widow,10,1,11,17
82,82,jurassic world: fallen kingdom,10,1,11,17
83,83,back to the future,1,2,11,414
84,84,avatar,10,1,12,0
85,85,diabolical,4,7,4,417
86,86,smallville,10,1,1,328
87,87,night sky,1,5,12,56
88,88,titans,10,1,16,420
89,89,star trek: picard,10,1,1,328
90,90,warehouse 13,3,0,11,140
91,91,tenet,10,4,7,422
92,92,the suicide squad,10,1,0,149
93,93,the adam project,10,1,0,149
94,94,see,10,5,11,350
95,95,captain marvel,10,1,11,17
96,96,shang-chi and the legend of the ten rings,10,1,12,0
97,97,mad max: fury road,10,1,11,17
98,98,arrow,10,1,16,420
